      Diff_Coef       Frequency         Real(c)         Imag(c)
          cm2/s              Hz                                
    1.00000E-04     1.58489E-03     1.79626E+03    -1.77625E+03
    1.00000E-04     1.99526E-03     1.59102E+03    -1.58642E+03
    1.00000E-04     2.51189E-03     1.41359E+03    -1.41142E+03
    1.00000E-04     3.16228E-03     1.25959E+03    -1.25513E+03
    1.00000E-04     3.98107E-03     1.12378E+03    -1.11710E+03
    1.00000E-04     5.01187E-03     1.00271E+03    -9.94789E+02
    1.00000E-04     6.30957E-03     8.94621E+02    -8.85800E+02
    1.00000E-04     7.94328E-03     7.98331E+02    -7.88484E+02
    1.00000E-04     1.00000E-02     7.12652E+02    -7.01605E+02
    1.00000E-04     1.25893E-02     6.36438E+02    -6.24042E+02
    1.00000E-04     1.58489E-02     5.68672E+02    -5.54764E+02
    1.00000E-04     1.99526E-02     5.08456E+02    -4.92852E+02
    1.00000E-04     2.51189E-02     4.54994E+02    -4.37486E+02
    1.00000E-04     3.16228E-02     4.07577E+02    -3.87936E+02
    1.00000E-04     3.98107E-02     3.65581E+02    -3.43547E+02
    1.00000E-04     5.01187E-02     3.28453E+02    -3.03737E+02
    1.00000E-04     6.30957E-02     2.95705E+02    -2.67986E+02
    1.00000E-04     7.94328E-02     2.66911E+02    -2.35832E+02
    1.00000E-04     1.00000E-01     2.41701E+02    -2.06868E+02
    1.00000E-04     1.25893E-01     2.19750E+02    -1.80735E+02
    1.00000E-04     1.58489E-01     2.00782E+02    -1.57125E+02
    1.00000E-04     1.99526E-01     1.84557E+02    -1.35781E+02
    1.00000E-04     2.51189E-01     1.70869E+02    -1.16495E+02
    1.00000E-04     3.16228E-01     1.59526E+02    -9.91145E+01
    1.00000E-04     3.98107E-01     1.50345E+02    -8.35376E+01
    1.00000E-04     5.01187E-01     1.43122E+02    -6.97051E+01
    1.00000E-04     6.30957E-01     1.37624E+02    -5.75804E+01
    1.00000E-04     7.94328E-01     1.33586E+02    -4.71203E+01
    1.00000E-04     1.00000E+00     1.30721E+02    -3.82494E+01
    1.00000E-04     1.25893E+00     1.28750E+02    -3.08477E+01
    1.00000E-04     1.58489E+00     1.27428E+02    -2.47574E+01
    1.00000E-04     1.99526E+00     1.26559E+02    -1.98006E+01
    1.00000E-04     2.51189E+00     1.25994E+02    -1.57986E+01
    1.00000E-04     3.16228E+00     1.25632E+02    -1.25855E+01
    1.00000E-04     3.98107E+00     1.25401E+02    -1.00154E+01
    1.00000E-04     5.01187E+00     1.25254E+02    -7.96490E+00
    1.00000E-04     6.30957E+00     1.25160E+02    -6.33146E+00
    1.00000E-04     7.94328E+00     1.25101E+02    -5.03163E+00
    1.00000E-04     1.00000E+01     1.25064E+02    -3.99796E+00
    1.00000E-04     1.25893E+01     1.25040E+02    -3.17629E+00
    1.00000E-04     1.58489E+01     1.25025E+02    -2.52332E+00
    1.00000E-04     1.99526E+01     1.25016E+02    -2.00449E+00
    1.00000E-04     2.51189E+01     1.25010E+02    -1.59230E+00
    1.00000E-04     3.16228E+01     1.25006E+02    -1.26485E+00
    1.00000E-04     3.98107E+01     1.25004E+02    -1.00472E+00
    1.00000E-04     5.01187E+01     1.25003E+02    -7.98089E-01
